brand,event_date,year,month,spike_zscore,baseline_hype,pre_drop_buzz,hype_score_t0,hype_peak,hype_peak_day,hype_lift_pct,hype_d7,hype_d30,hype_d60,hype_decay_halflife,days_since_last_event,prev_state,state_t0,state_d7,state_d30
Hermès,2012-09-23,2012,9,3.06,38.59,37.98,97.17,97.17,0,151.82,44.17,42.17,49.5,0.3,271.0,HIGH,VIRAL,HIGH,HIGH
Hermès,2013-03-29,2013,3,2.23,22.06,54.77,63.8,68.0,9,208.25,56.0,43.6,53.4,42.1,187.0,VIRAL,VIRAL,VIRAL,HIGH
Hermès,2013-12-29,2013,12,4.5,36.15,60.26,82.6,82.6,0,128.5,49.0,37.4,34.0,2.2,275.0,HIGH,VIRAL,HIGH,MEDIUM
Hermès,2014-05-05,2014,5,2.49,38.66,40.98,59.0,62.33,24,61.25,41.17,41.5,21.5,0.3,127.0,HIGH,VIRAL,HIGH,HIGH
Hermès,2014-12-08,2014,12,3.45,35.01,40.57,52.6,70.4,17,101.1,58.6,29.4,45.6,18.0,217.0,MEDIUM,VIRAL,VIRAL,LOW
Hermès,2015-09-13,2015,9,2.81,29.67,63.83,73.0,77.4,27,160.9,43.4,43.4,59.6,15.2,279.0,VIRAL,VIRAL,HIGH,HIGH
Hermès,2016-01-16,2016,1,2.56,38.32,43.81,59.17,59.17,0,54.4,38.0,29.17,46.2,0.8,125.0,MEDIUM,VIRAL,MEDIUM,LOW
Hermès,2016-08-07,2016,8,2.68,53.24,60.34,78.4,78.4,0,47.26,43.2,48.4,40.0,0.3,204.0,VIRAL,VIRAL,HIGH,HIGH
Hermès,2017-05-22,2017,5,3.52,40.91,43.83,56.67,63.5,23,55.21,50.0,40.17,53.67,6.1,288.0,HIGH,VIRAL,VIRAL,MEDIUM
Hermès,2017-11-12,2017,11,3.82,32.86,43.05,64.33,64.33,0,95.79,43.17,43.0,34.5,18.5,174.0,MEDIUM,VIRAL,HIGH,HIGH
Hermès,2018-05-20,2018,5,4.5,30.62,43.55,46.67,53.67,5,75.26,28.5,36.33,24.67,6.6,189.0,MEDIUM,HIGH,LOW,MEDIUM
Hermès,2018-11-11,2018,11,3.29,44.42,46.89,69.6,69.6,0,56.7,54.17,43.0,49.67,0.3,175.0,HIGH,VIRAL,VIRAL,HIGH
Hermès,2019-05-12,2019,5,4.36,43.25,49.17,73.2,73.2,0,69.26,41.0,31.0,34.33,0.6,182.0,HIGH,VIRAL,HIGH,LOW
Hermès,2019-12-28,2019,12,3.88,43.99,67.63,88.6,88.6,0,101.4,62.6,22.8,38.17,1.0,230.0,VIRAL,VIRAL,VIRAL,LOW
Hermès,2020-07-05,2020,7,4.39,29.48,41.4,55.2,64.2,12,117.75,41.6,37.2,25.0,7.0,190.0,MEDIUM,VIRAL,HIGH,MEDIUM
Hermès,2021-02-15,2021,2,2.89,45.49,67.31,85.4,85.4,0,87.74,55.6,61.6,53.4,13.6,225.0,VIRAL,VIRAL,VIRAL,VIRAL
Hermès,2021-09-21,2021,9,2.3,54.2,68.37,63.4,71.6,12,32.09,53.4,55.4,36.5,4.2,218.0,VIRAL,VIRAL,VIRAL,VIRAL
Hermès,2022-01-30,2022,1,4.03,36.83,48.07,63.83,67.33,7,82.84,67.33,33.0,38.33,4.2,131.0,HIGH,VIRAL,VIRAL,MEDIUM
Hermès,2022-10-09,2022,10,2.87,59.15,62.23,78.2,78.2,0,32.21,73.0,40.67,43.5,0.3,252.0,VIRAL,VIRAL,VIRAL,HIGH
Hermès,2023-07-18,2023,7,5.03,29.88,49.63,51.8,72.5,30,142.63,56.5,72.5,63.67,30.2,282.0,MEDIUM,VIRAL,VIRAL,VIRAL
Hermès,2024-05-05,2024,5,2.37,46.81,74.4,83.0,83.6,7,78.61,83.6,58.2,72.8,44.9,292.0,VIRAL,VIRAL,VIRAL,VIRAL
Hermès,2025-01-14,2025,1,3.21,36.78,51.94,72.8,82.0,4,122.97,57.6,51.4,70.2,39.8,254.0,HIGH,VIRAL,VIRAL,VIRAL
Hermès,2025-07-12,2025,7,5.03,34.3,49.0,60.83,60.83,0,77.35,46.0,43.33,32.5,1.3,179.0,HIGH,VIRAL,HIGH,HIGH
Hermès,2026-03-07,2026,3,3.6,50.05,57.55,89.5,89.5,0,78.84,64.67,,,1.6,238.0,VIRAL,VIRAL,VIRAL,
Louis Vuitton,2010-07-13,2010,7,3.42,15.42,27.05,23.0,51.67,2,235.1,19.33,22.0,21.67,0.3,,HIGH,HIGH,HIGH,HIGH
Louis Vuitton,2011-02-13,2011,2,2.96,17.95,23.67,29.67,54.33,13,202.78,20.67,27.0,37.25,0.3,215.0,MEDIUM,VIRAL,HIGH,VIRAL
Louis Vuitton,2011-07-29,2011,7,2.69,18.13,28.0,27.0,31.0,22,70.94,21.0,12.33,11.75,0.8,166.0,VIRAL,VIRAL,HIGH,LOW
Louis Vuitton,2012-03-16,2012,3,4.56,21.24,22.52,60.0,60.0,0,182.47,26.0,16.0,18.33,0.3,231.0,HIGH,VIRAL,VIRAL,MEDIUM
Louis Vuitton,2012-11-12,2012,11,2.61,26.67,29.9,26.33,55.0,19,106.25,24.33,16.33,25.67,0.3,241.0,VIRAL,VIRAL,HIGH,MEDIUM
Louis Vuitton,2013-04-30,2013,4,2.41,20.28,24.11,18.5,25.0,25,23.27,15.75,20.75,18.2,18.9,169.0,HIGH,MEDIUM,MEDIUM,HIGH
Louis Vuitton,2013-12-27,2013,12,4.37,18.69,23.61,47.5,47.5,0,154.2,17.0,14.0,17.75,0.4,241.0,HIGH,VIRAL,MEDIUM,LOW
Louis Vuitton,2014-07-27,2014,7,4.66,22.85,32.52,54.33,54.33,0,137.77,33.33,20.0,30.33,0.3,212.0,VIRAL,VIRAL,VIRAL,HIGH
Louis Vuitton,2015-07-23,2015,7,4.14,36.55,47.86,42.5,75.5,4,106.55,37.5,39.0,24.0,0.3,361.0,VIRAL,VIRAL,VIRAL,VIRAL
Louis Vuitton,2015-12-21,2015,12,3.74,23.7,27.05,25.67,33.33,5,40.68,28.0,17.33,24.0,0.6,151.0,VIRAL,VIRAL,VIRAL,MEDIUM
Louis Vuitton,2016-10-17,2016,10,4.05,26.45,31.52,54.0,62.67,5,136.95,24.0,23.33,12.0,0.3,301.0,VIRAL,VIRAL,HIGH,HIGH
Louis Vuitton,2017-04-16,2017,4,4.2,23.39,26.86,61.33,61.33,0,162.22,30.67,26.67,12.17,0.5,181.0,VIRAL,VIRAL,VIRAL,VIRAL
Louis Vuitton,2017-10-11,2017,10,3.26,16.36,18.31,34.0,35.2,26,115.11,13.2,15.4,15.17,0.3,178.0,MEDIUM,VIRAL,LOW,MEDIUM
Louis Vuitton,2018-06-24,2018,6,2.79,17.15,24.75,39.25,44.0,5,156.6,24.25,17.0,20.0,1.2,256.0,HIGH,VIRAL,HIGH,MEDIUM
Louis Vuitton,2019-01-20,2019,1,3.1,26.23,42.52,63.33,63.33,0,141.42,29.33,22.67,21.33,0.3,210.0,VIRAL,VIRAL,VIRAL,HIGH
Louis Vuitton,2019-08-08,2019,8,3.07,42.89,47.93,80.0,80.0,0,86.51,35.2,16.8,15.6,0.4,200.0,VIRAL,VIRAL,VIRAL,MEDIUM
Louis Vuitton,2020-02-17,2020,2,2.84,18.16,22.37,16.8,36.4,13,100.42,35.6,9.8,30.2,0.3,193.0,MEDIUM,MEDIUM,VIRAL,LOW
Louis Vuitton,2020-10-02,2020,10,3.0,24.98,28.36,33.75,46.5,23,86.16,34.25,16.5,8.33,0.3,228.0,VIRAL,VIRAL,VIRAL,MEDIUM
Louis Vuitton,2021-06-27,2021,6,3.43,21.3,29.11,40.25,60.75,16,185.21,21.25,21.5,11.5,0.7,268.0,VIRAL,VIRAL,HIGH,HIGH
Louis Vuitton,2022-03-06,2022,3,3.69,17.07,19.48,54.83,54.83,0,221.21,14.67,11.67,12.17,0.3,252.0,MEDIUM,VIRAL,MEDIUM,LOW
Louis Vuitton,2022-07-20,2022,7,4.52,15.05,31.62,19.67,34.2,26,127.25,12.2,27.6,28.2,0.3,136.0,HIGH,HIGH,LOW,VIRAL
Louis Vuitton,2022-12-02,2022,12,3.0,15.91,19.77,30.8,32.8,13,106.1,13.0,14.6,22.67,0.3,135.0,HIGH,VIRAL,LOW,MEDIUM
Louis Vuitton,2023-08-12,2023,8,3.11,21.52,30.96,47.5,53.0,9,146.29,21.0,17.5,31.75,0.3,253.0,VIRAL,VIRAL,HIGH,MEDIUM
Louis Vuitton,2024-01-18,2024,1,2.64,17.75,26.54,26.17,32.0,9,80.25,22.83,16.17,29.67,0.6,159.0,VIRAL,VIRAL,HIGH,MEDIUM
Louis Vuitton,2024-08-26,2024,8,2.47,25.16,35.43,50.33,57.67,12,129.24,46.0,23.67,9.5,0.4,221.0,VIRAL,VIRAL,VIRAL,HIGH
Louis Vuitton,2025-01-05,2025,1,3.19,13.65,40.83,38.33,38.33,0,180.78,28.6,22.8,10.8,2.0,132.0,VIRAL,VIRAL,VIRAL,HIGH
Louis Vuitton,2026-03-28,2026,3,4.66,26.3,47.14,87.83,87.83,0,233.9,87.83,,,,447.0,VIRAL,VIRAL,VIRAL,
Nike,2010-03-07,2010,3,2.35,26.27,29.47,44.71,44.71,0,70.21,30.0,30.71,22.29,0.3,,LOW,HIGH,LOW,LOW
Nike,2010-08-09,2010,8,3.1,23.33,37.4,33.67,49.5,3,112.22,36.67,18.17,16.57,4.5,155.0,MEDIUM,MEDIUM,MEDIUM,LOW
Nike,2011-04-18,2011,4,3.64,30.82,41.19,39.67,67.17,19,117.95,33.17,27.83,29.17,0.3,252.0,MEDIUM,MEDIUM,MEDIUM,LOW
Nike,2011-11-27,2011,11,3.25,28.84,37.26,50.83,57.5,11,99.37,36.5,18.38,14.5,3.4,223.0,MEDIUM,HIGH,MEDIUM,LOW
Nike,2012-08-12,2012,8,2.44,29.54,41.55,55.0,55.17,7,86.74,55.17,44.33,21.12,2.4,259.0,MEDIUM,VIRAL,VIRAL,HIGH
Nike,2013-08-21,2013,8,2.86,36.95,44.63,50.0,57.14,21,54.67,43.14,25.0,40.57,0.3,374.0,HIGH,HIGH,HIGH,LOW
Nike,2014-02-10,2014,2,2.92,36.22,35.32,61.88,61.88,0,70.83,41.62,29.22,32.56,0.3,173.0,MEDIUM,VIRAL,MEDIUM,LOW
Nike,2014-11-30,2014,11,3.08,42.45,54.47,68.0,68.0,0,60.19,33.78,36.0,22.0,0.9,293.0,HIGH,VIRAL,MEDIUM,MEDIUM
Nike,2015-03-28,2015,3,2.48,38.2,47.21,59.89,59.89,0,56.77,40.33,37.67,37.67,0.9,118.0,HIGH,VIRAL,MEDIUM,MEDIUM
Nike,2016-04-02,2016,4,2.66,41.42,49.91,80.88,80.88,0,95.24,64.12,43.88,33.56,0.4,371.0,HIGH,VIRAL,VIRAL,HIGH
Nike,2017-04-01,2017,4,2.7,37.33,46.29,74.89,74.89,0,100.6,43.0,27.67,38.89,0.3,364.0,HIGH,VIRAL,HIGH,LOW
Nike,2017-11-20,2017,11,3.64,43.13,52.16,88.89,88.89,0,106.07,49.33,31.22,27.33,0.3,233.0,VIRAL,VIRAL,HIGH,LOW
Nike,2019-02-09,2019,2,2.53,39.93,51.11,50.0,61.56,14,54.17,51.0,44.56,31.0,0.8,446.0,HIGH,HIGH,VIRAL,HIGH
Nike,2019-10-12,2019,10,2.89,49.55,56.24,56.33,60.78,14,22.66,46.11,42.56,41.89,0.3,245.0,HIGH,VIRAL,HIGH,HIGH
Nike,2020-02-16,2020,2,3.34,40.0,59.83,59.78,77.44,13,93.62,58.78,24.89,44.33,3.9,127.0,VIRAL,VIRAL,VIRAL,LOW
Nike,2020-07-25,2020,7,4.0,43.72,48.71,72.89,72.89,0,66.72,44.56,59.0,43.78,14.9,160.0,HIGH,VIRAL,HIGH,VIRAL
Nike,2021-03-29,2021,3,3.38,46.73,48.27,59.22,62.11,19,32.92,42.78,48.22,57.0,0.3,247.0,HIGH,VIRAL,HIGH,HIGH
Nike,2021-07-30,2021,7,3.28,48.31,63.68,64.33,74.11,9,53.39,52.67,54.33,49.22,14.1,123.0,VIRAL,VIRAL,VIRAL,VIRAL
Nike,2022-08-08,2022,8,2.64,48.65,69.56,77.22,77.22,0,58.71,57.56,57.44,52.44,31.7,374.0,VIRAL,VIRAL,VIRAL,VIRAL
Nike,2023-08-04,2023,8,2.27,42.92,64.13,66.56,69.33,29,61.53,62.11,63.22,54.33,23.2,361.0,VIRAL,VIRAL,VIRAL,VIRAL
Nike,2024-04-13,2024,4,2.83,54.54,56.6,70.0,70.0,0,28.35,64.11,51.89,51.33,8.6,253.0,VIRAL,VIRAL,VIRAL,VIRAL
Nike,2025-04-19,2025,4,2.2,54.94,63.62,67.22,67.22,0,22.36,62.56,40.67,48.22,5.6,371.0,VIRAL,VIRAL,VIRAL,MEDIUM
Nike,2025-11-30,2025,11,4.1,52.35,68.11,77.0,77.0,0,47.07,60.67,33.33,41.44,2.0,225.0,VIRAL,VIRAL,VIRAL,MEDIUM
Nike,2026-03-28,2026,3,2.52,55.14,56.08,75.67,75.67,0,37.23,75.67,,,,118.0,HIGH,VIRAL,VIRAL,
Off-White,2010-04-06,2010,4,4.32,0.0,14.29,0.0,0.0,0,,0.0,0.0,0.0,,,MEDIUM,MEDIUM,MEDIUM,MEDIUM
Off-White,2011-04-30,2011,4,4.32,0.0,14.29,0.0,0.0,0,,0.0,0.0,0.0,,389.0,MEDIUM,MEDIUM,MEDIUM,MEDIUM
Off-White,2013-06-17,2013,6,6.66,,33.33,82.0,82.0,0,,0.0,0.0,0.0,0.3,779.0,VIRAL,VIRAL,MEDIUM,MEDIUM
Off-White,2015-05-05,2015,5,5.9,0.0,7.14,37.5,50.0,15,,0.0,0.0,0.0,0.3,687.0,MEDIUM,VIRAL,MEDIUM,MEDIUM
Off-White,2016-07-19,2016,7,5.03,0.0,14.29,0.0,0.0,0,,0.0,0.0,0.0,,441.0,MEDIUM,MEDIUM,MEDIUM,MEDIUM
Off-White,2016-11-25,2016,11,3.65,1.85,9.82,19.5,25.0,2,1254.47,0.0,0.0,0.0,0.3,129.0,MEDIUM,HIGH,MEDIUM,MEDIUM
Off-White,2017-11-20,2017,11,2.4,34.57,50.5,100.0,100.0,0,189.28,29.0,23.25,16.0,0.3,360.0,VIRAL,VIRAL,VIRAL,HIGH
Off-White,2018-05-09,2018,5,2.34,21.39,32.5,49.75,59.5,3,178.12,16.5,31.75,14.0,0.3,170.0,HIGH,VIRAL,HIGH,VIRAL
Off-White,2018-10-03,2018,10,3.92,20.15,41.39,54.0,64.5,15,220.03,38.75,21.5,23.5,0.3,147.0,VIRAL,VIRAL,VIRAL,HIGH
Off-White,2019-05-04,2019,5,3.17,38.44,51.32,68.0,68.0,0,76.92,35.25,26.0,36.75,0.8,213.0,VIRAL,VIRAL,VIRAL,HIGH
Off-White,2019-11-03,2019,11,4.26,31.38,46.93,72.75,77.25,4,146.15,25.25,23.75,43.0,0.4,183.0,VIRAL,VIRAL,HIGH,HIGH
Off-White,2020-07-26,2020,7,4.6,15.15,33.71,21.0,43.6,26,187.73,16.0,21.4,32.0,25.0,266.0,HIGH,HIGH,HIGH,HIGH
Off-White,2021-07-26,2021,7,3.22,22.78,34.54,48.8,48.8,0,114.24,18.2,13.0,9.8,0.4,365.0,VIRAL,VIRAL,HIGH,MEDIUM
Off-White,2021-11-30,2021,11,3.91,13.83,28.79,29.0,36.0,5,160.23,9.5,7.75,33.5,0.4,127.0,HIGH,VIRAL,MEDIUM,MEDIUM
Off-White,2022-03-28,2022,3,2.84,35.67,46.14,46.75,76.25,22,113.76,43.0,45.75,18.6,0.7,118.0,VIRAL,VIRAL,VIRAL,VIRAL
Off-White,2022-09-14,2022,9,3.42,26.24,38.11,59.8,59.8,0,127.87,29.0,21.6,20.8,0.3,170.0,VIRAL,VIRAL,VIRAL,HIGH
Off-White,2023-02-03,2023,2,2.71,28.08,33.83,45.4,45.4,0,61.7,11.4,15.2,15.8,0.8,142.0,VIRAL,VIRAL,MEDIUM,HIGH
Off-White,2024-02-20,2024,2,2.74,23.34,30.18,45.0,63.5,9,172.04,14.75,15.25,34.0,2.0,382.0,VIRAL,VIRAL,MEDIUM,HIGH
Off-White,2024-10-02,2024,10,3.64,24.19,29.68,40.75,47.25,22,95.36,28.75,11.25,16.0,0.3,225.0,HIGH,VIRAL,VIRAL,MEDIUM
Off-White,2025-02-10,2025,2,2.27,24.02,28.0,41.5,50.0,14,108.15,40.0,14.0,17.0,1.1,131.0,HIGH,VIRAL,VIRAL,MEDIUM
Off-White,2025-08-18,2025,8,3.03,21.23,51.61,60.75,60.75,0,186.18,34.0,22.75,18.6,9.2,189.0,VIRAL,VIRAL,VIRAL,HIGH
Off-White,2026-03-15,2026,3,3.14,25.65,42.23,36.8,55.6,13,116.79,46.4,,,,209.0,VIRAL,VIRAL,VIRAL,
Palace,2010-10-08,2010,10,3.79,,14.29,0.0,0.0,0,,0.0,0.0,0.0,,,HIGH,MEDIUM,MEDIUM,MEDIUM
Palace,2011-03-15,2011,3,4.32,0.0,14.29,0.0,0.0,0,,0.0,0.0,0.0,,158.0,MEDIUM,MEDIUM,MEDIUM,MEDIUM
Palace,2012-09-14,2012,9,4.25,0.46,26.21,0.0,32.33,11,6968.22,0.0,0.0,0.0,1.0,549.0,HIGH,MEDIUM,MEDIUM,MEDIUM
Palace,2013-06-02,2013,6,4.82,1.23,9.33,33.33,33.33,0,2616.76,0.0,0.0,0.0,0.7,261.0,MEDIUM,VIRAL,MEDIUM,MEDIUM
Palace,2014-05-11,2014,5,3.78,6.09,16.81,33.33,33.33,0,447.79,0.0,0.0,0.0,0.3,343.0,HIGH,VIRAL,MEDIUM,MEDIUM
Palace,2014-11-29,2014,11,3.58,6.63,13.0,7.25,33.33,21,402.94,6.0,0.0,6.0,0.3,202.0,HIGH,MEDIUM,MEDIUM,MEDIUM
Palace,2015-04-06,2015,4,3.42,4.94,15.9,28.67,49.0,26,892.67,4.67,7.0,33.33,0.3,128.0,HIGH,VIRAL,MEDIUM,MEDIUM
Palace,2015-09-10,2015,9,3.89,13.21,31.14,62.33,62.33,0,371.77,6.33,10.33,8.0,0.3,157.0,VIRAL,VIRAL,MEDIUM,HIGH
Palace,2016-04-15,2016,4,2.57,17.73,37.71,30.67,38.0,30,114.36,6.0,38.0,13.5,3.5,218.0,VIRAL,VIRAL,MEDIUM,VIRAL
Palace,2016-12-16,2016,12,2.38,13.34,38.0,48.0,48.0,0,259.81,9.0,7.67,8.33,0.5,245.0,VIRAL,VIRAL,HIGH,MEDIUM
Palace,2017-10-06,2017,10,2.88,22.09,27.81,84.67,84.67,0,283.37,15.0,9.67,9.75,0.3,294.0,VIRAL,VIRAL,HIGH,HIGH
